t=2021-11-22T19:45:24-0500 lvl=info msg="no configuration paths supplied"
t=2021-11-22T19:45:24-0500 lvl=info msg="using configuration at default config path" path=C:\\Users\\Cesar/.ngrok2/ngrok.yml
t=2021-11-22T19:45:24-0500 lvl=info msg="open config file" path=C:\\Users\\Cesar\\.ngrok2\\ngrok.yml err=nil
t=2021-11-22T19:45:24-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2021-11-22T19:45:24-0500 lvl=info msg=start pg=/grpc/agent.Web/State id=cef41e9f4aa185ba
t=2021-11-22T19:45:24-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2021-11-22T19:45:24-0500 lvl=info msg="client session established" obj=csess id=11348fed500d
t=2021-11-22T23:43:25-0500 lvl=info msg="join connections" obj=join id=c688a219935a l=[::1]:3389 r=35.199.5.104:40002
t=2021-11-22T23:54:41-0500 lvl=info msg="join connections" obj=join id=a9c233b3a1b3 l=[::1]:3389 r=35.231.211.58:45478
t=2021-11-22T23:54:42-0500 lvl=info msg="join connections" obj=join id=ffc64569f27b l=[::1]:3389 r=35.231.211.58:45508
t=2021-11-22T23:54:43-0500 lvl=info msg="join connections" obj=join id=cfc6b86d14f9 l=[::1]:3389 r=35.231.211.58:36056
t=2021-11-22T23:54:44-0500 lvl=info msg="join connections" obj=join id=e9e8f262a087 l=[::1]:3389 r=35.231.211.58:36072
t=2021-11-22T23:54:45-0500 lvl=info msg="join connections" obj=join id=f93cd0c8a823 l=[::1]:3389 r=35.231.211.58:36098
t=2021-11-22T23:54:46-0500 lvl=info msg="join connections" obj=join id=a5d5ddfbb02e l=[::1]:3389 r=35.231.211.58:36114
t=2021-11-23T00:14:51-0500 lvl=info msg="join connections" obj=join id=be51834b9aab l=[::1]:3389 r=88.135.241.136:13198
t=2021-11-23T00:15:42-0500 lvl=info msg="join connections" obj=join id=d6b36837d9b5 l=[::1]:3389 r=35.199.5.104:41098
t=2021-11-23T00:15:43-0500 lvl=info msg="join connections" obj=join id=d95317a22bb3 l=[::1]:3389 r=35.199.5.104:41122
t=2021-11-23T00:22:32-0500 lvl=info msg="join connections" obj=join id=0f69a3cc4494 l=[::1]:3389 r=5.62.49.89:35923
